Transaction_ID,Date,Year,Month,Quarter,Region,Zone,Channel,Therapy_Area,Product,Quantity,Unit_Price,Unit_Cost,Revenue,Profit
TXN1001,2022-11-19,2022,11,Q4,East,Zone C,Distributor,Neurology,Levetiracetam 250mg,121,498.99,222.95,60377.79,33400.84
TXN1002,2022-04-02,2022,4,Q2,East,Zone C,Retail Pharmacy,Oncology,Capecitabine 500mg,409,581.05,236.01,237649.45,141121.36
TXN1003,2022-12-17,2022,12,Q4,South,Zone B,Distributor,Diabetes,Metformin 500mg,363,443.57,234.91,161015.91,75743.58
TXN1004,2023-03-03,2023,3,Q1,East,Zone C,Hospital,Diabetes,Sitagliptin 50mg,413,435.68,251.7,179935.84,75983.74
TXN1005,2022-02-26,2022,2,Q1,East,Zone C,Hospital,Respiratory,Salbutamol Inhaler,437,756.65,430.52,330656.05,142518.81
TXN1006,2023-12-08,2023,12,Q4,South,Zone B,Distributor,Respiratory,Montelukast 10mg,416,562.45,327.91,233979.2,97568.64
TXN1007,2023-04-04,2023,4,Q2,East,Zone C,Retail Pharmacy,Cardiovascular,Atorvastatin 10mg,51,368.87,170.56,18812.37,10113.81
TXN1008,2023-02-16,2023,2,Q1,North,Zone A,Distributor,Diabetes,Glipizide 5mg,251,721.12,417.8,181001.12,76133.32
TXN1009,2023-08-21,2023,8,Q3,West,Zone D,Retail Pharmacy,Neurology,Levetiracetam 250mg,262,341.51,164.4,89475.62,46402.82
TXN1010,2023-09-07,2023,9,Q3,North,Zone A,Hospital,Neurology,Pregabalin 75mg,206,651.65,275.23,134239.9,77542.52
TXN1011,2022-03-27,2022,3,Q1,West,Zone D,Hospital,Cardiovascular,Telmisartan 40mg,130,583.51,371.73,75856.3,27531.4
TXN1012,2023-07-16,2023,7,Q3,South,Zone B,Distributor,Diabetes,Metformin 500mg,250,517.47,258.36,129367.5,64777.5
TXN1013,2023-08-05,2023,8,Q3,East,Zone C,Distributor,Respiratory,Salbutamol Inhaler,263,715.41,387.51,188152.83,86237.7
TXN1014,2022-10-15,2022,10,Q4,South,Zone B,Distributor,Oncology,Imatinib 100mg,304,242.05,99.76,73583.2,43256.16
TXN1015,2022-07-05,2022,7,Q3,South,Zone B,Distributor,Diabetes,Metformin 500mg,290,285.77,157.91,82873.3,37079.4
TXN1016,2022-04-22,2022,4,Q2,East,Zone C,Retail Pharmacy,Respiratory,Salbutamol Inhaler,62,107.73,52.46,6679.26,3426.74
TXN1017,2022-05-20,2022,5,Q2,South,Zone B,Retail Pharmacy,Respiratory,Montelukast 10mg,183,392.4,182.67,71809.2,38380.59
TXN1018,2023-07-01,2023,7,Q3,South,Zone B,Hospital,Oncology,Capecitabine 500mg,397,317.22,213.19,125936.34,41299.91
TXN1019,2022-03-05,2022,3,Q1,East,Zone C,Hospital,Cardiovascular,Amlodipine 5mg,408,173.49,97.19,70783.92,31130.4
TXN1020,2022-06-17,2022,6,Q2,East,Zone C,Retail Pharmacy,Diabetes,Sitagliptin 50mg,209,439.09,268.24,91769.81,35707.65
TXN1021,2022-02-17,2022,2,Q1,North,Zone A,Distributor,Diabetes,Glipizide 5mg,436,275.66,133.82,120187.76,61842.24
TXN1022,2023-06-19,2023,6,Q2,North,Zone A,Retail Pharmacy,Diabetes,Glipizide 5mg,392,258.98,174.16,101520.16,33249.44
TXN1023,2023-06-24,2023,6,Q2,South,Zone B,Distributor,Respiratory,Montelukast 10mg,465,494.52,209.8,229951.8,132394.8
TXN1024,2023-06-09,2023,6,Q2,North,Zone A,Distributor,Respiratory,Montelukast 10mg,444,662.32,423.56,294070.08,106009.44
TXN1025,2023-12-19,2023,12,Q4,South,Zone B,Distributor,Respiratory,Salbutamol Inhaler,492,215.18,131.98,105868.56,40934.4
TXN1026,2023-07-25,2023,7,Q3,West,Zone D,Hospital,Cardiovascular,Amlodipine 5mg,387,678.28,408.8,262494.36,104288.76
TXN1027,2022-12-17,2022,12,Q4,South,Zone B,Retail Pharmacy,Diabetes,Sitagliptin 50mg,193,662.92,375.58,127943.56,55456.62
TXN1028,2022-11-16,2022,11,Q4,North,Zone A,Distributor,Neurology,Levetiracetam 250mg,58,259.15,158.11,15030.7,5860.32
TXN1029,2022-08-03,2022,8,Q3,West,Zone D,Retail Pharmacy,Cardiovascular,Telmisartan 40mg,469,723.92,421.27,339518.48,141942.85
TXN1030,2022-02-03,2022,2,Q1,North,Zone A,Hospital,Oncology,Imatinib 100mg,433,279.02,152.26,120815.66,54887.08
TXN1031,2023-01-08,2023,1,Q1,North,Zone A,Distributor,Neurology,Levetiracetam 250mg,447,294.05,183.47,131440.35,49429.26
