Year,Quarter,Region,Therapy_Area,Revenue,Profit,Units_Sold,Transactions,Margin_%
2022,Q1,East,Cardiovascular,2063189.0899999999,917547.41,4781,17,44.5
2022,Q1,East,Diabetes,900516.63,368363.63,2560,8,40.9
2022,Q1,East,Neurology,1911916.44,887794.64,3368,11,46.4
2022,Q1,East,Oncology,894448.09,430027.5,2590,10,48.1
2022,Q1,East,Respiratory,2248493.16,936625.57,4856,15,41.7
2022,Q1,North,Cardiovascular,1319879.7,590748.51,2729,11,44.8
2022,Q1,North,Diabetes,1108308.53,473962.14,4315,14,42.8
2022,Q1,North,Neurology,773573.95,320976.5,1948,7,41.5
2022,Q1,North,Oncology,1169758.02,549180.3099999999,3882,15,46.9
2022,Q1,North,Respiratory,667298.1,340524.74,1348,6,51.0
2022,Q1,South,Cardiovascular,590960.41,240708.42,2088,8,40.7
2022,Q1,South,Diabetes,1718172.07,703829.37,3865,16,41.0
2022,Q1,South,Neurology,1008210.14,430283.08,2429,10,42.7
2022,Q1,South,Oncology,1622099.8,815219.0700000001,3716,14,50.3
2022,Q1,South,Respiratory,1795608.42,812720.0599999999,3850,14,45.3
2022,Q1,West,Cardiovascular,1580616.9,679810.7,3331,15,43.0
2022,Q1,West,Diabetes,1587936.23,622699.67,4932,16,39.2
2022,Q1,West,Neurology,1028658.44,425626.79,2122,7,41.4
2022,Q1,West,Oncology,1476472.75,712047.9,3557,14,48.2
2022,Q1,West,Respiratory,1640773.42,760014.8200000001,4773,17,46.3
2022,Q2,East,Cardiovascular,1480141.98,698129.26,3415,10,47.2
2022,Q2,East,Diabetes,781842.99,360009.33999999997,2508,9,46.0
2022,Q2,East,Neurology,1544403.14,701889.6,3315,10,45.4
2022,Q2,East,Oncology,1829731.49,903850.83,4239,15,49.4
2022,Q2,East,Respiratory,1948304.69,878688.79,4661,15,45.1
2022,Q2,North,Cardiovascular,2247223.67,974065.93,4968,20,43.3
2022,Q2,North,Diabetes,1198479.93,522710.98000000004,2785,13,43.6
2022,Q2,North,Neurology,1320452.66,580628.6,3015,10,44.0
2022,Q2,North,Oncology,2015711.57,841666.54,3904,11,41.8
2022,Q2,North,Respiratory,1136974.56,542494.98,3618,11,47.7
2022,Q2,South,Cardiovascular,604786.27,279911.66,2181,8,46.3
2022,Q2,South,Diabetes,1698182.1,721111.62,3409,11,42.5
2022,Q2,South,Neurology,1599085.69,748276.77,3765,15,46.8
2022,Q2,South,Oncology,798643.76,396817.05,1654,9,49.7
2022,Q2,South,Respiratory,1782245.74,777319.9,3834,14,43.6
2022,Q2,West,Cardiovascular,1314681.3,620048.29,2902,14,47.2
2022,Q2,West,Diabetes,1753089.24,817784.88,4530,16,46.6
2022,Q2,West,Neurology,1266345.2,511191.72,3135,11,40.4
2022,Q2,West,Oncology,935880.21,397530.05,1553,6,42.5
2022,Q2,West,Respiratory,2169638.9,1021794.62,4808,17,47.1
2022,Q3,East,Cardiovascular,1608765.51,646397.75,3348,11,40.2
2022,Q3,East,Diabetes,729448.14,365948.13,1599,7,50.2
2022,Q3,East,Neurology,1702854.83,767225.9,4630,20,45.1
2022,Q3,East,Oncology,1100499.65,545371.54,2059,7,49.6
2022,Q3,East,Respiratory,1896789.69,883949.01,3932,14,46.6
2022,Q3,North,Cardiovascular,1176749.54,566377.22,2907,10,48.1
2022,Q3,North,Diabetes,1309577.5999999999,605236.34,3672,14,46.2
2022,Q3,North,Neurology,1168418.72,529554.59,2142,9,45.3
2022,Q3,North,Oncology,1186017.08,474167.35,2427,8,40.0
2022,Q3,North,Respiratory,1487846.23,659517.47,3072,11,44.3
2022,Q3,South,Cardiovascular,827464.73,300736.99,1784,5,36.3
2022,Q3,South,Diabetes,1786593.68,759727.13,4137,14,42.5
2022,Q3,South,Neurology,1284893.25,508144.08,2806,9,39.5
2022,Q3,South,Oncology,1067542.9100000001,463283.72000000003,2830,12,43.4
2022,Q3,South,Respiratory,816422.8999999999,410501.0,2123,8,50.3
2022,Q3,West,Cardiovascular,2097703.45,987795.88,4417,14,47.1
2022,Q3,West,Diabetes,1560060.8,763871.82,3298,12,49.0
2022,Q3,West,Neurology,912607.87,376026.7,2132,8,41.2
2022,Q3,West,Oncology,1552888.3599999999,616451.03,2939,14,39.7
2022,Q3,West,Respiratory,1841102.69,777888.03,4152,15,42.3
2022,Q4,East,Cardiovascular,2138469.97,947671.7999999999,4113,12,44.3
